package,module,path,capabilities,classes,functions,cli,database,imports
knowledge_engine,knowledge_engine.inspectors.image,knowledge_engine/inspectors/image.py,inspection,ImageInspector,inspect,,,"PIL, base, pathlib"
knowledge_engine,knowledge_engine.inspectors.markdown,knowledge_engine/inspectors/markdown.py,"extraction, inspection",MarkdownInspector,,,,text
knowledge_engine,knowledge_engine.inspectors.pdf,knowledge_engine/inspectors/pdf.py,"extraction, inspection, normalization, search",PDFInspector,inspect,,,"base, fitz, pathlib"
knowledge_engine,knowledge_engine.inspectors.registry,knowledge_engine/inspectors/registry.py,"catalog, extraction, inspection",InspectorRegistry,"register, get",,,"docx, epub, html, image, markdown, pathlib, pdf, text, zim"
knowledge_engine,knowledge_engine.inspectors.text,knowledge_engine/inspectors/text.py,"extraction, inspection",TextInspector,inspect,,,"base, pathlib"
knowledge_engine,knowledge_engine.inspectors.zim,knowledge_engine/inspectors/zim.py,"extraction, inspection",ZimInspector,inspect,,,"base, pathlib"
knowledge_engine,knowledge_engine.library.__init__,knowledge_engine/library/__init__.py,"catalog, storage",,,,,"knowledge_engine.library.builder, knowledge_engine.library.store"
knowledge_engine,knowledge_engine.library.builder,knowledge_engine/library/builder.py,"acquisition, catalog, classification, inspection, normalization, storage",LibraryCatalogBuilder,build,,yes,"json, knowledge_engine.library.models"
knowledge_engine,knowledge_engine.library.models,knowledge_engine/library/models.py,"acquisition, catalog, classification",LibraryRecord,,,,dataclasses
knowledge_engine,knowledge_engine.library.store,knowledge_engine/library/store.py,"acquisition, catalog, classification, storage",LibraryCatalogStore,"upsert, summary",,yes,knowledge_engine.library.models
knowledge_engine,knowledge_engine.metadata.__init__,knowledge_engine/metadata/__init__.py,normalization,,,,,
knowledge_engine,knowledge_engine.metadata.fingerprints,knowledge_engine/metadata/fingerprints.py,"chunking, normalization",,sha256_file,,,"hashlib, pathlib"
knowledge_engine,knowledge_engine.pages.__init__,knowledge_engine/pages/__init__.py,,,,,,
knowledge_engine,knowledge_engine.pages.models,knowledge_engine/pages/models.py,"catalog, extraction",Page,,,,dataclasses
knowledge_engine,knowledge_engine.pages.store,knowledge_engine/pages/store.py,"catalog, extraction, storage",PageStore,replace_pages,,yes,
knowledge_engine,knowledge_engine.pipeline,knowledge_engine/pipeline.py,"catalog, inspection",,run_inventory,,,"knowledge_engine.processing, pathlib"
knowledge_engine,knowledge_engine.processing.__init__,knowledge_engine/processing/__init__.py,,,,,,knowledge_engine.processing.processor
knowledge_engine,knowledge_engine.processing.catalog_stage,knowledge_engine/processing/catalog_stage.py,"catalog, normalization, storage",CatalogStage,"category_from_path, build_record, run",,,"knowledge_engine.discovery.scanner, knowledge_engine.document, knowledge_engine.metadata.fingerprints, pathlib"
knowledge_engine,knowledge_engine.processing.chunk_stage,knowledge_engine/processing/chunk_stage.py,chunking,,,,,
knowledge_engine,knowledge_engine.processing.concept_stage,knowledge_engine/processing/concept_stage.py,classification,,,,,
knowledge_engine,knowledge_engine.processing.discover,knowledge_engine/processing/discover.py,,,,,,
knowledge_engine,knowledge_engine.processing.extract_stage,knowledge_engine/processing/extract_stage.py,extraction,,,,,
knowledge_engine,knowledge_engine.processing.extract_text_stage,knowledge_engine/processing/extract_text_stage.py,"catalog, extraction, storage",ExtractTextStage,run,,,"knowledge_engine.readers, pathlib"
knowledge_engine,knowledge_engine.processing.inspect_stage,knowledge_engine/processing/inspect_stage.py,"catalog, inspection, normalization, storage",InspectStage,run,,,"json, knowledge_engine.inspectors"
knowledge_engine,knowledge_engine.processing.processor,knowledge_engine/processing/processor.py,"catalog, inspection, storage",ProcessingEngine,run_foundation,,,"knowledge_engine.index, knowledge_engine.processing.catalog_stage, knowledge_engine.processing.inspect_stage, knowledge_engine.processing.structure_stage, knowledge_engine.storage.catalog_store, knowledge_engine.storage.database, knowledge_engine.storage.inspection_store, knowledge_engine.storage.structure_store, pathlib"
knowledge_engine,knowledge_engine.processing.retrieve_stage,knowledge_engine/processing/retrieve_stage.py,search,,,,,
knowledge_engine,knowledge_engine.processing.structure_stage,knowledge_engine/processing/structure_stage.py,"catalog, extraction, storage",StructureStage,run,,,knowledge_engine.structure
knowledge_engine,knowledge_engine.providers.__init__,knowledge_engine/providers/__init__.py,acquisition,,,,,
knowledge_engine,knowledge_engine.providers.base,knowledge_engine/providers/base.py,acquisition,,,,,
knowledge_engine,knowledge_engine.providers.faa,knowledge_engine/providers/faa.py,acquisition,,,,,
knowledge_engine,knowledge_engine.providers.local,knowledge_engine/providers/local.py,acquisition,,,,,
knowledge_engine,knowledge_engine.providers.nasa,knowledge_engine/providers/nasa.py,acquisition,,,,,
knowledge_engine,knowledge_engine.providers.noaa,knowledge_engine/providers/noaa.py,acquisition,,,,,
knowledge_engine,knowledge_engine.providers.provider,knowledge_engine/providers/provider.py,acquisition,,,,,
knowledge_engine,knowledge_engine.providers.registry,knowledge_engine/providers/registry.py,acquisition,,,,,
knowledge_engine,knowledge_engine.providers.us_army,knowledge_engine/providers/us_army.py,acquisition,,,,,
knowledge_engine,knowledge_engine.providers.who,knowledge_engine/providers/who.py,acquisition,,,,,
knowledge_engine,knowledge_engine.queue.__init__,knowledge_engine/queue/__init__.py,,,,,,
knowledge_engine,knowledge_engine.queue.builder,knowledge_engine/queue/builder.py,catalog,ProcessingQueueBuilder,build,,,"knowledge_engine.queue.models, knowledge_engine.queue.priorities"
knowledge_engine,knowledge_engine.queue.models,knowledge_engine/queue/models.py,catalog,QueueItem,,,,dataclasses
knowledge_engine,knowledge_engine.queue.priorities,knowledge_engine/queue/priorities.py,"graph, normalization",,,,,
knowledge_engine,knowledge_engine.readers,knowledge_engine/readers.py,extraction,,read_pdf_pages,,,"fitz, pathlib"
knowledge_engine,knowledge_engine.reports.__init__,knowledge_engine/reports/__init__.py,,,,,,
knowledge_engine,knowledge_engine.reports.duplicates,knowledge_engine/reports/duplicates.py,,,"write_duplicates_csv, write_duplicates_markdown",,,"csv, pathlib"
knowledge_engine,knowledge_engine.retrieval.__init__,knowledge_engine/retrieval/__init__.py,,,,,,
knowledge_engine,knowledge_engine.search.__init__,knowledge_engine/search/__init__.py,search,,,,,
knowledge_engine,knowledge_engine.search.local_search,knowledge_engine/search/local_search.py,search,,,,,
knowledge_engine,knowledge_engine.search.retrieval,knowledge_engine/search/retrieval.py,search,,,,,
knowledge_engine,knowledge_engine.storage.__init__,knowledge_engine/storage/__init__.py,storage,,,,,
knowledge_engine,knowledge_engine.storage.catalog_store,knowledge_engine/storage/catalog_store.py,"catalog, storage",CatalogStore,"upsert_document, summary",,yes,knowledge_engine.document
knowledge_engine,knowledge_engine.storage.chunk_store,knowledge_engine/storage/chunk_store.py,"chunking, storage",,,,,
knowledge_engine,knowledge_engine.storage.concept_store,knowledge_engine/storage/concept_store.py,"classification, storage",,,,,
knowledge_engine,knowledge_engine.storage.database,knowledge_engine/storage/database.py,"acquisition, catalog, chunking, classification, extraction, inspection, normalization, storage",KnowledgeDatabase,"connect, initialize",,yes,"pathlib, sqlite3"
knowledge_engine,knowledge_engine.storage.inspection_store,knowledge_engine/storage/inspection_store.py,"catalog, inspection, normalization, storage",InspectionStore,upsert,,yes,
knowledge_engine,knowledge_engine.storage.page_store,knowledge_engine/storage/page_store.py,"catalog, extraction, search, storage",PageStore,"replace_pages, search",,yes,
knowledge_engine,knowledge_engine.storage.structure_store,knowledge_engine/storage/structure_store.py,"acquisition, catalog, storage",StructureStore,"replace, summary",,yes,
knowledge_engine,knowledge_engine.storage.text_store,knowledge_engine/storage/text_store.py,"catalog, extraction, storage",TextStore,upsert,,yes,
knowledge_engine,knowledge_engine.structure.__init__,knowledge_engine/structure/__init__.py,,,,,,"knowledge_engine.structure.base, knowledge_engine.structure.registry"
knowledge_engine,knowledge_engine.structure.base,knowledge_engine/structure/base.py,"acquisition, catalog",StructureNode,,,,"dataclasses, typing"
knowledge_engine,knowledge_engine.structure.pdf,knowledge_engine/structure/pdf.py,"acquisition, catalog, extraction",PDFStructureExtractor,extract,,,"fitz, knowledge_engine.structure.base, pathlib"
knowledge_engine,knowledge_engine.structure.registry,knowledge_engine/structure/registry.py,"catalog, extraction",StructureRegistry,"register, get",,,"knowledge_engine.structure.pdf, pathlib"
knowledge_engine,knowledge_engine.tests.__init__,knowledge_engine/tests/__init__.py,,,,,,
knowledge_engine,knowledge_engine.types,knowledge_engine/types.py,,,,,,
dev/librarian,dev.librarian.__init__,dev/librarian/__init__.py,,,,,,
dev/librarian,dev.librarian.acquire_pipeline,dev/librarian/acquire_pipeline.py,"acquisition, catalog, extraction, normalization",,"process_zip, main",yes,,"__future__, argparse, dev.librarian.acquisition.normalize, pathlib"
dev/librarian,dev.librarian.acquisition.__init__,dev/librarian/acquisition/__init__.py,,,,,,
dev/librarian,dev.librarian.acquisition.archive,dev/librarian/acquisition/archive.py,normalization,,archive,,,"pathlib, shutil"
dev/librarian,dev.librarian.acquisition.filter,dev/librarian/acquisition/filter.py,"acquisition, extraction",,should_keep,,,pathlib
dev/librarian,dev.librarian.acquisition.manifest,dev/librarian/acquisition/manifest.py,"acquisition, chunking, normalization",,"sha256_file, append_manifest",,,"__future__, csv, hashlib, pathlib"
dev/librarian,dev.librarian.acquisition.metadata,dev/librarian/acquisition/metadata.py,"extraction, normalization",,"load_json, extract_course_metadata, write_metadata",,,"__future__, json, pathlib"
dev/librarian,dev.librarian.acquisition.normalize,dev/librarian/acquisition/normalize.py,"acquisition, catalog, classification, extraction, normalization",,"extract_zip, classify_kind, copy_useful_assets",,,"__future__, dev.librarian.acquisition.filter, dev.librarian.acquisition.manifest, dev.librarian.acquisition.metadata, pathlib, shutil, zipfile"
dev/librarian,dev.librarian.acquisition.pipeline,dev/librarian/acquisition/pipeline.py,"acquisition, extraction, normalization",,process,,,"filter, metadata, normalize, pathlib"
dev/librarian,dev.librarian.cko.__init__,dev/librarian/cko/__init__.py,cko,,,,,
dev/librarian,dev.librarian.cko.database,dev/librarian/cko/database.py,"acquisition, cko, extraction, inspection, storage",,"connect, migrate",,yes,"__future__, pathlib, sqlite3"
dev/librarian,dev.librarian.cko.mit_cko_builder,dev/librarian/cko/mit_cko_builder.py,"acquisition, chunking, cko, extraction, inspection, normalization, search, storage",,"utc_now, sha256_file, safe_name, load_json, guess_type, find_course_root, extract_title, collect_static_pdfs, find_pdf_for_resource, add_cko, add_representation, materialize_representation, build_course, main",yes,yes,"__future__, argparse, datetime, dev.librarian.cko.database, hashlib, json, pathlib, re, shutil, sqlite3, uuid"
dev/librarian,dev.librarian.discover,dev/librarian/discover.py,"acquisition, search",,main,yes,,"__future__, argparse, dev.librarian.discovery.engine"
dev/librarian,dev.librarian.discovery.__init__,dev/librarian/discovery/__init__.py,,,,,,
dev/librarian,dev.librarian.discovery.engine,dev/librarian/discovery/engine.py,"acquisition, extraction, graph, normalization, search",,"normalize_topic, human_topic, slugify, load_sources, source_matches_topic, score_candidate, discover, write_discovery_plan",,,"__future__, dev.librarian.discovery.models, json, pathlib, re"
dev/librarian,dev.librarian.discovery.models,dev/librarian/discovery/models.py,"acquisition, search","TrustedSource, DiscoveryCandidate","utc_now, to_dict",,,"__future__, dataclasses, datetime"
dev/librarian,dev.librarian.integration.__init__,dev/librarian/integration/__init__.py,,,,,,
dev/librarian,dev.librarian.inventory.__init__,dev/librarian/inventory/__init__.py,,,,,,
dev/librarian,dev.librarian.inventory.inventory,dev/librarian/inventory/inventory.py,"catalog, collections, extraction",,,,,"collections, csv, pathlib"
dev/librarian,dev.librarian.librarian,dev/librarian/librarian.py,catalog,,register,yes,,"__future__, argparse, core.knowledge_catalog.paths, core.knowledge_catalog.registrar, pathlib"
dev/librarian,dev.librarian.mit_miner,dev/librarian/mit_miner.py,"acquisition, chunking, extraction, normalization, search",,"sha256, search, mine_course, download, main",yes,,"bs4, csv, hashlib, pathlib, re, requests, time, urllib.parse"
dev/librarian,dev.librarian.mit_targeted_miner,dev/librarian/mit_targeted_miner.py,"acquisition, chunking, extraction, inspection, normalization",Links,"fetch, text_from_html, sha256_file, safe_name, write_manifest, download, mine_ocw_course_zip, mine_mit_press_books, main, handle_starttag",yes,,"__future__, argparse, csv, hashlib, html.parser, pathlib, re, time, urllib.parse, urllib.request, zipfile"
dev/librarian,dev.librarian.pdf_hunter,dev/librarian/pdf_hunter.py,"acquisition, chunking, collections, extraction, normalization, search, storage",LinkParser,"sha256_file, fetch, safe_filename, same_domain, robots_allowed, crawl, main, handle_starttag",yes,,"__future__, argparse, collections, csv, hashlib, html.parser, pathlib, re, time, urllib.parse, urllib.request, urllib.robotparser"
dev/librarian,dev.librarian.run_pipeline,dev/librarian/run_pipeline.py,"acquisition, normalization",,,,,"acquisition.pipeline, pathlib"
